Marca temporal,Dirección de correo electrónico,Nombre Completo ,Matrícula ,¿Qué carrera estudias? (SIGLAS),Semestre ,Estatus amoroso,Me gustaría que me emparejaran con...,Género,¿Con cuáles pronombres te identificas?,¿Qué edad tienes?,¿Saldrías con alguien MAYOR que tú? ,¿Saldrías con alguien MENOR que tú? ,¿Qué estas buscando?,Breve descripción sobre ti.,¿Qué tipo de película te gusta más?,¿Qué género musical es el que más te gusta escuchar?,¿Te gusta el anime?,¿Te gustan los videojuegos?,¿Te gusta bailar ?,¿Eres un fan de algún deporte?,¿Qué taco serías?,¿Con qué personaje de The Big Bang Theory te identificas más?,"Si pudieras convertirte en una de los siguientes animales, ¿Cuál serías?",Si solamente pudieras comer este sabor de helado por el resto de tu vida ¿Cuál escogerías?,Si pudieras eliminar una de las siguientes celebraciones ¿Cuál sería? ,¿Qué estación del año prefieres?,¿Te gusta la pizza con piña?,"¿Para ti, una cita ideal en que lugar sería?",¿Crees en la astrología y los Signos Zodiacales?,¿Cuál es tu signo del zodiaco? ,¿Te gusta cocinar?,¿Te gusta que te cocinen?,¿Te gustan más los perros o los gatos?,¿Generalmente prefieres la adaptación de la película o los libros?,¿Cuando ves una película la ves doblada o subtitulada?,¿Te gusta más el frio o el calor?,¿Con que tiburón de Shark Tank México te gustaría empezar un negocio?,De los siguientes superpoderes ¿Cuál te gustaría tener más?,¿Cuál de estas características es la que más buscas en una pareja?,¿Cuál de estas características es la que más te define?,Username de Instagram (Ej. @juanito_hdz),Número celular y/o Whatsapp,Username de Twitter (Ej. @juanito_hdz),Algún otro medio de contacto.,
0,mail1,Name1,mat1,IC,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,Sí,Amistad,"Serio al no conocer a alguien, pero luego llego a ser extrovertido.",Comedia,"Reggaeton, Electrónica",No,Sí,"Sí, pero no sé bailar","Futbol, Basquetbol, Baseball, Futbol Americano, Natación",Pastor,Raj,Tiburón,Nuez,Spring Break,Primavera,No,Un lugar tranquilo,No,Piscis,Sí,Sí,Perros,Película,Subtitulada,Calor,Arturo Elías Ayub,Manipular el tiempo,Diversión,Confiable,insta1,tel1,twitter1,.,
1,mail2,Name2,mat2,ids,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,20,Sí,Sí,Amistad,"sí, me baño con tenis y qué",Romance,"Pop, Instrumental, Rock, Metal, Reggaeton, Cumbia, Electrónica, Kpop",No,No,Sí,"Tennis, Natación, Ciclismo",Pescado,Ninguno,Pato,Chocomenta,San Valentín,Verano,No,un oxxo,Sí,Géminis,Sí,Sí,Perros,Libro,Subtitulada,Calor,Arturo Elías Ayub,Dinero como el batman,Diversión,Divertido,insta2,tel2,twitter2,.,
2,mail3,Name3,mat3,IIA,10,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,22,Sí,Sí,Amistad,"Soy una persona alegre, carismática y que siempre esta dispuesta a hacer nuevos amigos y le gusta mucho aprender cosas nuevas",Romance,"Pop, Rock, Reggaeton",No,No,"Sí, pero no sé bailar","No, Futbol",Barbacoa,Sheldon,Pingüino,Nuez,Spring Break,Invierno,No,En un parque (picnic),No,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Telepatía,Respeto,Alegre,insta3,tel3,twitter3,.,
3,mail4,Name4,mat4,LPM,8,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,21,Sí,No,Amistad,"Acuario, chilanga, café de día tequila de noche.",Romance,Pop,No,No,Sí,No,Pastor,Sheldon,Pingüino,Vanilla,Navidad,Invierno,Sí,Bailar salsa tomando tequila y cenar tacos ,Sí,Acuario,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Control Mental y manipulación,Cariño,Divertido,insta4,tel4,twitter4,.,
4,mail5,Name5,mat5,IQP,8,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,"Soy una persona risueña, dedicada y empática. Me encanta viajar y hacer ejercicio. ",Drama,"Rock, Reggaeton, Cumbia, Banda",Sí,No,Sí,"Natación, Otro",Pastor,Ninguno,Ballena,Pistache,San Valentín,Primavera,No,En un parque ,No,Piscis,No,Sí,Perros,Libro,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Diversión,Alegre,insta5,tel5,twitter5,.,
5,mail6,Name6,mat6,IFI,8,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,"Él, Elle",21,Sí,Sí,Amistad,"Tengo 21 años, me gusta escuchar la música, hiking, nadar, rodar, camping, explorar películas, anime, un poco de videojuegos, tocar música, estudiar y sobre todo HACER PAN pero aveces da hueva",Suspenso,"Pop, Instrumental, Rock",Sí,Sí,Sí,"Futbol Americano, Natación, Otro",Barbacoa,Howard,Pingüino,Fresa,Día de la Independencia,Invierno,Sí,Picnic en el monte,No,Sagitario,Sí,Sí,Gatos,Película,Subtitulada,Frio,Carlos Bremer,Teletransporte,Empatía,Alegre,insta6,tel6,twitter6,.,
6,mail7,Name7,mat7,IBT,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,"Me encanta leer, salir, GOT es mi serie favorita, im down for everything all the time.  Vivi dos años en Alemania, me encanta viajar",Acción,"Pop, Rock, Reggaeton",Sí,No,Sí,Natación,Barbacoa,Bernadette,Pingüino,Fresa,San Valentín,Otoño,No,Playita,Sí,Leo,Sí,Sí,Perros,Libro,Subtitulada,Frio,Emmanuel,Teletransporte,Respeto,Confiable,insta7,tel7,twitter7,.,
7,mail8,Name8,mat8,INCQ,6,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Alegre,Romance,"Pop, Instrumental, Rock, Electrónica",Sí,Sí,"Sí, pero no sé bailar","Futbol Americano, Golf, Otro",Barbacoa,Ninguno,Pingüino,Nuez,Año nuevo,Otoño,Sí,Restaurante y Cine,No,Cáncer,No,Sí,Gatos,Libro,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Respeto,Alegre,insta8,tel8,twitter8,.,
8,mail9,Name9,mat9,IC,7,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,21,Sí,Sí,Amistad,"Persona positiva, al inicio un poco tímido pero me gusta compartir y escuchar a la gente para poder ser mas amigable. Me divierto jugando video juegos, pasando tiempo con mi familia y cuidando a mi sobrina. Encajo muy bien con personas muy relajadas abiertas a hablar de lo que sea y aguanten mis comentarios tontos ocasionales. ",Suspenso,Pop,No,Sí,Sí,"Futbol, Basquetbol",Pastor,Leonard,Ballena,Cookies and cream,Halloween,Verano,No,"Una clase como de cocina, danza, surf, algo que ninguno de los dos haya hecho.",No,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Confianza,Fiel,insta9,tel9,twitter9,.,
9,mail10,Name10,mat10,LAF,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,"Chistosona, buen pedo, soy la que se acaba las papas en la peda, la inteligencia me persigue pero yo soy más rápida 😎",Acción,"Pop, Rock, Reggaeton, Banda",No,Sí,Sí,No,Guisos,Ninguno,Pato,Nuez,San Valentín,Otoño,No,Mi bello y natal Dubai ,Sí,Aries,No,Sí,Gatos,Libro,Subtitulada,Calor,Carlos Bremer,Manipular el tiempo,Diversión,Alegre,insta10,tel10,twitter10,.,
