"First Name","Email","Valentine 1","Porcentaje 1","insta1","tel1","Description 1","Valentine 2","Porcentaje 2","insta2","tel2","Description 2","Valentine 3","Porcentaje 3","insta3","tel3","Description 3","My Valentines"
"name114","mail114","name707",0.763157894736842,"insta707","tel707","Me gusta mucho la música y los late night drives","name605",0.657894736842105,"insta605","tel605","Si te gusta escuchar datos tanto interesantes como inútiles, el indicado soy yo 

Pd: Mi mamá dice que estoy guapo 
Pd2: Me gustan los dinosaurios ","name1004",0.657894736842105,"insta1004","tel1004","Me gustan las computadoras, la tecnología, leer, escribir, ver películas y series, jugar videojuegos, mi pelicula favorita es Pacific Rim, mi serie favorita es How I Met Your Mother, mi videojuego favorito es Subnautica y mi saga de libros favorita es La Torre Oscura de Stephen King",3
"name132","mail132","name999",0.657894736842105,"insta999","tel999","Chico fit, medio barrio, te programo una peda o un futuro juntos bb. Me enculo rápido ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"name189","mail189","name1254",0.763157894736842,"insta1254","tel1254","Soy de Xalapa, Veracruz. Me considero una persona introvertida, me interesa la ciencia y me gustan las mates. Me gusta hacer ejercicio y escuchar música, en general de rock o indie rock. Me gusta hacer origami y soy una persona muy curiosa.","name605",0.736842105263158,"insta605","tel605","Si te gusta escuchar datos tanto interesantes como inútiles, el indicado soy yo 

Pd: Mi mamá dice que estoy guapo 
Pd2: Me gustan los dinosaurios ","name718",0.736842105263158,"insta718","tel718","Me gustan los videojuegos, me gusta el deporte, soy foráneo y me encanta ir al cine. ",11
"name203","mail203","name925",0.763157894736842,"insta925","tel925","No se me ocurre que poner, porque pienso en demasiadas cosas","name702",0.736842105263158,"insta702","tel702","Me gusta el fútbol americano y tmb jugarlo, me gusta salir de fiesta pero tmb puedo quedarme en casa a ver película o series etc","name850",0.710526315789474,"insta850","tel850","Me considero una persona tranquila, me gusta mucho la música, andar en bici, estar con amigos y manejar. Toco la guitarra y me gusta ver muchas series y películas ",6
"name212","mail212","name891",0.710526315789474,"insta891","tel891","Me gusta mucho aprender de distintos temas para no enfrascarme sólo en mi carrera. Además de estudiar soy emprendedor. Siempre estoy tratando de mejorar como persona en todos los aspectos. Me gustan los deportes, especialmente natación fútbol y básquetbol, los videojuegos y tocar el piano y la guitarra. También disfruto mucho de salir con mis amigos y de platicar de diferentes temas. ","name1272",0.684210526315789,"insta1272","tel1272","Me gustan los deportes, videojuegos, tocar la guitarra , salir con mis amigos y también quedarme a ver series ","name718",0.657894736842105,"insta718","tel718","Me gustan los videojuegos, me gusta el deporte, soy foráneo y me encanta ir al cine. ",5
"name252","mail252","name584",0.684210526315789,"insta584","tel584","Me gusta salir a divertirme, los deportes, estar al aire libre y pasarlo bien","name702",0.631578947368421,"insta702","tel702","Me gusta el fútbol americano y tmb jugarlo, me gusta salir de fiesta pero tmb puedo quedarme en casa a ver película o series etc","name747",0.631578947368421,"insta747","tel747","Soy buena onda y siempre traigo ocurrencias que contar :p",2
"name268","mail268","name1122",0.684210526315789,"insta1122","tel1122","Me gusta de todo, salir manejar, conocer gente, seriecito al comienzo y ya luego agarro confianza","name925",0.657894736842105,"insta925","tel925","No se me ocurre que poner, porque pienso en demasiadas cosas","name604",0.631578947368421,"insta604","tel604","Me gusta ir al gym, el fútbol y Basket. Salir todos los findes de semana.",1
"name295","mail295","name631",0.684210526315789,"insta631","tel631","Me gusta mucho cocinar, bailar, la ciencia y la política.","name656",0.657894736842105,"insta656","tel656","Soy Víctor Villarreal.","name850",0.657894736842105,"insta850","tel850","Me considero una persona tranquila, me gusta mucho la música, andar en bici, estar con amigos y manejar. Toco la guitarra y me gusta ver muchas series y películas ",3
"name317","mail317","name925",0.789473684210526,"insta925","tel925","No se me ocurre que poner, porque pienso en demasiadas cosas","name641",0.684210526315789,"insta641","tel641","Soy una persona que le gusta estar haciendo algo siempre. De momento estudio, trabajo y emprendo un negocio chico, pero también me gusta mucho relajarme de vez en cuando, para esto salgo a jugar fútbol o voy a comer con amigos, escucho música, veo series, etc. Físicamente, tengo cabello castaño, aperlado, ojos verdes y estoy un poco chaparro. Participo en eventos más que nada deportivos en el Tec y tengo muy buen promedio.","name840",0.684210526315789,"insta840","tel840","Mido 1.86, soy medio chistoso a veces y pues me gusta aprender a hacer de todo un poco",9
"name320","mail320","name713",0.736842105263158,"insta713","tel713","Soy una persona que no teme a nuevas experiencias, me encanta viajar y conocer gente y culturas. En esta vida no hay que estar cerrados a nada, asi que Â¿si no vas con todo, a que vas?","name876",0.736842105263158,"insta876","tel876","Soy Santiago, soy de Ciudad Victoria Tamaulipas, tengo 19, estudio ingeniería industrial y me gusta mucho correr y jugar tennis, pero tambien maratonear series y dormir, un poco jugar videojuegos y ver fútbol.  ","name1259",0.736842105263158,"insta1259","tel1259","Soy una persona un poco inteligente con un gran corazon, apasionado en todo lo que hace y muy empatico :)",5
"name335","mail335","name656",0.736842105263158,"insta656","tel656","Soy Víctor Villarreal.","name702",0.710526315789474,"insta702","tel702","Me gusta el fútbol americano y tmb jugarlo, me gusta salir de fiesta pero tmb puedo quedarme en casa a ver película o series etc","name765",0.710526315789474,"insta765","tel765","Soy â€œaltoâ€, delgado con buen sentido del humor y carismatico, quien sabe igual ya hacemos buen match",9
"name359","mail359","name584",0.684210526315789,"insta584","tel584","Me gusta salir a divertirme, los deportes, estar al aire libre y pasarlo bien","name838",0.684210526315789,"insta838","tel838","Me gusta mucho escuchar música, hacer ejercicio, ver películas/series y jugar con los panas. :D","name845",0.684210526315789,"insta845","tel845","",7
"name378","mail378","name765",0.710526315789474,"insta765","tel765","Soy â€œaltoâ€, delgado con buen sentido del humor y carismatico, quien sabe igual ya hacemos buen match","name1272",0.684210526315789,"insta1272","tel1272","Me gustan los deportes, videojuegos, tocar la guitarra , salir con mis amigos y también quedarme a ver series ","name584",0.657894736842105,"insta584","tel584","Me gusta salir a divertirme, los deportes, estar al aire libre y pasarlo bien",3
"name414","mail414","name588",0.736842105263158,"insta588","tel588","Soy alguien extrovertido y versátil para el chismee, me gusta mucho convivir en cualquier lugar, soy mucho de ejercicio y leer y me encanta comer y cocinar:) ","name584",0.684210526315789,"insta584","tel584","Me gusta salir a divertirme, los deportes, estar al aire libre y pasarlo bien","name1272",0.684210526315789,"insta1272","tel1272","Me gustan los deportes, videojuegos, tocar la guitarra , salir con mis amigos y también quedarme a ver series ",2
"name434","mail434","name876",0.710526315789474,"insta876","tel876","Soy Santiago, soy de Ciudad Victoria Tamaulipas, tengo 19, estudio ingeniería industrial y me gusta mucho correr y jugar tennis, pero tambien maratonear series y dormir, un poco jugar videojuegos y ver fútbol.  ","name1122",0.710526315789474,"insta1122","tel1122","Me gusta de todo, salir manejar, conocer gente, seriecito al comienzo y ya luego agarro confianza","name641",0.684210526315789,"insta641","tel641","Soy una persona que le gusta estar haciendo algo siempre. De momento estudio, trabajo y emprendo un negocio chico, pero también me gusta mucho relajarme de vez en cuando, para esto salgo a jugar fútbol o voy a comer con amigos, escucho música, veo series, etc. Físicamente, tengo cabello castaño, aperlado, ojos verdes y estoy un poco chaparro. Participo en eventos más que nada deportivos en el Tec y tengo muy buen promedio.",6
"name453","mail453","name702",0.763157894736842,"insta702","tel702","Me gusta el fútbol americano y tmb jugarlo, me gusta salir de fiesta pero tmb puedo quedarme en casa a ver película o series etc","name1254",0.763157894736842,"insta1254","tel1254","Soy de Xalapa, Veracruz. Me considero una persona introvertida, me interesa la ciencia y me gustan las mates. Me gusta hacer ejercicio y escuchar música, en general de rock o indie rock. Me gusta hacer origami y soy una persona muy curiosa.","name718",0.736842105263158,"insta718","tel718","Me gustan los videojuegos, me gusta el deporte, soy foráneo y me encanta ir al cine. ",7
